Alpaca successfully connected
Loaded preprocessed data with shape (23968830, 16)
Getting Numpy arrays from data!

| `step`: Number of samples, or total training steps, or running times of `env.step()`.
| `time`: Time spent from the start of training to this moment.
| `avgR`: Average value of cumulative rewards, which is the sum of rewards in an episode.
| `stdR`: Standard dev of cumulative rewards, which is the sum of rewards in an episode.
| `avgS`: Average of steps in an episode.
| `objC`: Objective of Critic network. Or call it loss function of critic network.
| `objA`: Objective of Actor network. It is the average Q value of the critic network.
|     step      time  |     avgR    stdR    avgS  |     objC      objA
| 2.00e+04        46  |    -0.98    0.00   12345  |     0.02      0.29
| 4.00e+04        92  |    -0.86    0.00   12345  |     0.01      0.28
| 6.00e+04       138  |    -0.85    0.00   12345  |     0.00      0.25
| 8.00e+04       183  |    -0.98    0.00   12345  |     0.00      0.20
| 1.00e+05       228  |    -0.88    0.00   12345  |     0.47      0.22
| 1.20e+05       274  |    -0.85    0.00   12345  |     0.16      0.18
| 1.40e+05       319  |    -1.00    0.00   12345  |     0.08      0.18
| 1.60e+05       365  |    -0.93    0.00   12345  |     0.18      0.25
| 1.80e+05       410  |    -0.88    0.00   12345  |     0.19      0.22
| 2.00e+05       457  |    -0.90    0.00   12345  |     0.12      0.16
| 2.20e+05       502  |    -1.06    0.00   12345  |     0.12      0.18
| 2.40e+05       548  |    -0.83    0.00   12345  |     0.13      0.16
| 2.60e+05       593  |    -0.97    0.00   12345  |     0.39      0.27
| 2.80e+05       640  |    -0.87    0.00   12345  |     0.00      0.21
| 3.00e+05       685  |    -0.89    0.00   12345  |     0.00      0.20
| 3.20e+05       730  |    -1.03    0.00   12345  |     0.00      0.22
| 3.40e+05       776  |    -0.92    0.00   12345  |     0.00      0.22
| 3.60e+05       821  |    -0.90    0.00   12345  |     0.00      0.20
| 3.80e+05       866  |    -0.92    0.00   12345  |     0.00      0.21
| 4.00e+05       911  |    -1.19    0.00   12345  |     0.00      0.21
| 4.20e+05       957  |    -0.83    0.00   12345  |     0.23      0.21
| 4.40e+05      1004  |    -1.05    0.00   12345  |     0.63      0.22
| 4.60e+05      1050  |    -0.80    0.00   12345  |     0.40      0.24
| 4.80e+05      1096  |    -0.92    0.00   12345  |     0.81      0.30
| 5.00e+05      1141  |    -0.85    0.00   12345  |     0.62      0.20
| 5.20e+05      1187  |    -0.84    0.00   12345  |     0.87      0.23
| 5.40e+05      1233  |    -0.97    0.00   12345  |     0.81      0.18
| 5.60e+05      1280  |    -0.90    0.00   12345  |     0.58      0.19
| 5.80e+05      1326  |    -0.87    0.00   12345  |     0.46      0.17
| 6.00e+05      1371  |    -0.90    0.00   12345  |     0.63      0.21
| 6.20e+05      1416  |    -0.98    0.00   12345  |     0.35      0.21
| 6.40e+05      1461  |    -0.86    0.00   12345  |     0.35      0.23
| 6.60e+05      1508  |    -0.96    0.00   12345  |     0.65      0.20
| 6.80e+05      1553  |    -0.82    0.00   12345  |     0.92      0.18
| 7.00e+05      1598  |    -0.87    0.00   12345  |     0.89      0.17
